"Variable_ID","LIVER 3","LIVER 4","WAT 3","WAT 5","SMALL INT 1","SMALL INT 3","SMALL INT 4","SMALL INT 5","LARGE INT 4","LARGE INT 5","HEART 1","HEART 2","HEART 4","HEART 5","LUNG 2","LUNG 3","LUNG 4","LUNG 5","MUSCLE 3","MUSCLE 4","MUSCLE 5","SKIN 2","SKIN 3","SKIN 4","SKIN 5","KIDNEY COR 1","KIDNEY COR 3","KIDNEY COR 4","KIDNEY MED 1","KIDNEY MED 2","KIDNEY MED 4","KIDNEY MED 5","SPLEEN 1","SPLEEN 4","SPLEEN 5","HF LIVER 1","HF LIVER 2","HF LIVER 3","HF LIVER 4","HF LIVER 5","HF WAT 2","HF WAT 3","HF WAT 5","HF SMALL INT 1","HF SMALL INT 2","HF SMALL INT 3","HF SMALL INT 4","HF SMALL INT 5","HF LARGE INT 1","HF LARGE INT 3","HF LARGE INT 4","HF HEART 1","HF HEART 2","HF HEART 3","HF HEART 4","HF LUNG 1","HF LUNG 2","HF LUNG 3","HF LUNG 4","HF LUNG 5","HF MUSCLE 1","HF MUSCLE 2","HF MUSCLE 3","HF MUSCLE 4","HF MUSCLE 5","HF SKIN 1","HF SKIN 2","HF SKIN 3","HF SKIN 4","HF SKIN 5","HF KID CORTEX 2","HF KID CORTEX 3","HF KID CORTEX 4","HF KID CORTEX 5","HF KID MED 1","HF KID MED 2","HF KID MED 3","HF KID MED 4","HF KID MED 5","HF SPLEEN 1","HF SPLEEN 2","HF SPLEEN 3","HF SPLEEN 5","LIVER 1","WAT 1","LARGE INT  1","LUNG 1","MUSCLE 1","SKIN 1","KID CORTEX 1","KID MED 1","LIVER 2","WAT 2","SMALL INT 2","LARGE INT  2","KID CORTEX 2","KID MED 2","SPLEEN 2","WAT 4","LARGE INT  4","KID CORTEX 4","KID MED 4","HF WAT 1","HF WAT 4","HF LARGE INT 2","HF LARGE INT 5","HF HEART 5","HF KID CORTEX 1","HF SPLEEN 4","LIVER 5","LARGE INT 1","LARGE INT 2","LARGE INT 3","HEART 3","MUSCLE 2","KIDNEY COR 2","KIDNEY COR 5","SPLEEN 3"
"Serine",0.459440475432946,0.42903245685778,1.21401102350665,1.4874690452395,0.500897136170696,1.2521671283618,0.480733696219975,1.52174737570626,0.558069960069332,0.506568431816876,1.21191227656758,0.658354105037988,0.486909128708609,0.62914031700794,0.201650639380272,0.819456576872329,0.342585377226763,1.01137752918238,0.316869327934275,0.418076760190094,0.764543214871585,0.980919984613506,0.477106452195667,0.27201070658526,1.50776968880922,0.660515113256091,1.73501522119624,1.1422847319364,0.659975808220414,1.6247009822113,0.747433503075673,1.35557734434721,0.392183860281758,0.6522581693108,0.571476970409379,0.641810182448571,0.609771886290118,0.0187387900290777,0.898371625280519,1.10431431536651,1.54101370579252,0.845867011549031,0.879055401153168,0.919696528282697,0.972383856200898,1.40168187003393,0.0249803134427452,0.585367058392439,1.06625862368218,0.929803832423544,0.148959873216792,1.21412325254657,1.14863408124141,1.34285424806236,0.416903976602861,1.76097814303998,0.446440533801699,1.58925448764707,0.83672006741218,0.596837440933654,1.15103340153622,0.952397805246676,0.947436171000279,0.259951048235799,0.690851888684563,0.766242998468027,0.946158248556148,0.93422049120966,-0.164014369839236,0.41455915271104,1.97184714814054,1.35602472021761,0.518582863808686,0.996099786989834,1.88500680055745,1.22731631637812,1.20944610628307,-0.359650681367816,1.57940833905067,1.06653940181585,1.90008290861277,0.247236544098041,0.48115039070637,0.227668418248961,-0.054216773275478,0,-0.735993872160021,-1.34074055006189,0.215628397073157,0,0,0.947272919679734,0.689569024540047,0.0699763724069345,0,0,0,0.930670665458858,-0.0437874421524583,0,0,0,0.016418264,-1.188687024,0.82192808,-0.064613528,0.170331333,0.668229344,-0.225141088,-0.305192256,-0.73604125,-0.65393543,0.900541863,-0.045707531,5.15303519,1.137488827,0.51010275,-4.511708927
"Shikimate",-0.828233017452922,1.05469380348431,-1.09399902489883,1.71031448217358,-1.05829088530808,0.85357265644743,-1.30386924345658,1.03768705443832,0.101549085511135,1.86035708284396,-1.21895577123794,1.14418798069994,-0.0506309753010101,0.868403429947498,0.26367427772976,2.24112499678567,-1.59020866604843,1.39988133989493,-1.64918837187775,0.229658805338528,0.97849878351686,0.159108358022314,0.0365024748511029,0.379774532607027,2.91311564529381,0.385302427824501,1.01357591861305,0.487635618030056,0.399558020252853,1.59511002347934,0.190376700456205,2.65143871515178,0.375701256422683,0.76789312785145,0.485969254082262,0.473426481774478,0.543370699072548,0.568597756839625,0.320916105741554,-0.805002569984042,1.33229650082543,0.916287450145595,1.30593315057779,0.766972920355909,0.719042276948325,1.22850116122249,1.31091198608091,1.21292622788658,1.141669291752,1.2752346314617,1.22612950823703,0.983560379483455,1.17210459031287,1.32144365044374,0.358048181550814,1.35538656799903,0.264470045124006,1.45158820929292,0.957123820233121,0.733739447502443,1.27942990839301,0.775457897191238,1.0209740445977,1.12362015865392,1.11742363422151,0.482486665464047,0.884990872348301,1.27480810114691,1.57048948840037,0.81116573500863,0.25876349627174,1.07717086691498,1.25935465186175,1.08440765351163,1.49963371091268,-0.325604668610997,0.956508185169151,0.169121192587052,1.6843438909309,0.992808380570078,1.93652278702638,0.511595546941719,2.04605862471705,0.828914569424795,-1.53724101524455,0,0.134980596553432,0.511930453408955,-0.235636063018974,0,0,0.321262604440399,3.34017765692849,0.252540038821809,0,0,0,0.558717181706159,-0.203670580495288,0,0,0,0.157182043,0.036134936,-0.064820061,-0.192063623,-0.049582317,0.206431915,1.029862359,1.700906384,0.347363558,-0.295488246,-5.320672157,-1.374642187,0.342650423,-0.346833423,2.954434551,0.120841824
"SM d18:1/14:0",0.699065180119005,0.330459290899998,1.60611398414584,1.38452668295293,0.611010107305888,1.03170113579787,0.414952423830051,0.964510004126541,0.451027410749668,0.309962760108297,1.28202750700292,0.321643826183271,0.217205458385906,0.283641605975124,0.299365347032082,1.41094228194086,0.491629949444915,1.11826310800017,0.650878725084158,0.377446379736733,0.665707483865683,0.764559304391359,0.906847330531018,0.168416215211818,1.08967215124701,0.901478753674574,1.65212462307363,1.04536598466432,0.887985713069041,0.935434964135343,0.664962991281785,0.965904774153202,0.627502747508836,0.892279004954784,0.542602515882833,0.4730324604905,0.431968307228684,0.203064587710914,0.618741830264042,1.00397552623031,1.06581039436873,0.481955549824537,1.07572234438722,0.690833790299644,0.775752348180963,1.14284444765839,0.773908405655264,0.793695365027092,0.94978890375057,0.846537824218348,-0.048171619912635,0.833322219951796,0.641683307370599,1.30619879233364,0.603062016143414,1.32988977515903,0.581152408098524,1.43354276135955,0.888423795153426,0.643488644442504,1.0794252946527,0.549544431255658,0.567414750993776,0.564199730862867,0.887377852799217,0.493061123287461,0.852758059663517,1.08763466772702,0.868765483102954,0.694613554754202,1.18729436884207,0.912206593084655,1.20765019066349,0.883949978049213,1.20415234234737,0.516114342396856,0.80687525025889,0.132213921980156,1.44614159218004,0.805728539261724,1.52252176658307,0.350576323467177,0.59059021443718,-3.30865921217989,0.642266258575714,0,1.22508915553695,-0.245853506180389,0.778196146430119,0,0,0.337684373372577,0.612748574720629,-0.56167693141695,0,0,0,0.299795145270859,-0.0782645849707424,0,0,0,-0.062087203,-0.757213369,-0.2288421,-0.008094604,0.025959676,-0.147647132,-0.615612631,-0.813349516,1.26549613,-1.152395684,0.097075383,0.612625521,-0.795649596,-0.902384491,-0.224921132,-7.762578121
"SM d18:1/16:1",1.89145027997676,3.33266560142683,1.00709606605425,1.94751316900207,0.295614663852161,-2.89016910526559,0.427258210628276,-2.65833085819029,0.348140846021942,-2.29394830414645,1.13372765083221,0.0251685026771288,0.823958060706869,0.810872722295164,-0.162599408939652,1.5441097085325,0.692526708395477,1.46898827856716,0.140610673607091,0.267538095130848,1.20623501460386,0.435066565076838,-3.02659688459903,0.82343370197356,-3.3673854048008,0.965186733121574,1.63445118683935,4.87322692182298,0.948268875734501,0.688532255675962,3.92218266702798,-2.12542080275696,0.482069087304157,1.21017064023667,-1.941411303761,1.20624831292041,0.517612503286218,0.475291783280425,0.458959728076421,1.12624316082534,1.05538303471833,0.386724158141123,1.29647199519989,1.2269962322064,1.14050760942257,0.339020585783633,0.708618935247398,0.654269313119356,3.12743870565842,0.46580439113414,0.0863515710234706,1.50524601848444,1.59539406661324,0.583179336400686,0.174904237943259,3.11378196038403,0.335067032164656,-0.340952354111536,-0.326846863606745,0.145157285486448,2.99806626427978,0.540704642230634,0.467967570832892,0.552862763799967,1.10796926099689,0.835041162543508,0.9336704647495,0.72631484759704,0.0490147200361908,1.07942548300451,1.62436023865288,0.402152249797685,2.34038012846523,1.12719762894236,3.3343302834981,0.912317271723337,0.344223995064951,0.940770270313047,1.73519088637561,1.59196901255128,1.52642521804688,-0.0662114550317449,0.465211024546596,0.506818243843171,-0.249201060130708,0,0.401826984286217,0.54611541402757,0.952286804680861,0,0,0.521786811247328,-0.0326535555614696,0.315771809215067,0,0,0,0.638732790194212,-0.171527891466714,0,0,0,2.041359067,-0.773291015,-0.341054496,0.021538218,-1.028593405,2.404971935,-0.170184329,-3.565065744,0.409982827,-0.263720587,-0.82067813,-7.055150344,0.287341548,-0.431372651,-6.055965706,0.063649591
"SM d18:1/18:1",0.7591001302335,0.333699453379703,1.62540995208177,1.32415916880739,0.663972864599415,1.03724867610975,0.502035528325894,0.925454985462036,0.531848694619012,0.344468857652406,1.2692593263314,0.369604057508572,0.367940153738449,0.137148175662747,0.358186796234535,1.39506347633416,0.501808162452509,0.956435688667998,0.667315822644444,0.516389849694282,0.607748182592073,0.697634247861661,0.9502019035172,0.291443162461736,1.08499474311706,0.925962071100668,1.71003000737414,1.10485826470174,0.911152855078547,0.897863324790992,0.71558641472222,0.926773747156132,0.619512704174137,0.98085603065085,0.572171613875322,0.486582063150468,0.441054864054745,0.251763656428683,0.859362127869006,0.974433667700737,1.08791894818914,0.890163648586128,1.10031845575231,0.640927373162323,0.801654892004093,1.17337986890103,0.782153304406161,0.851685611242666,1.03923714760155,1.00315039400517,0.563248098363281,0.890299785667722,0.675804026660583,1.38978608349208,0.85878532173652,1.86348473007612,0.493649492007379,1.56746276989329,0.957717194074115,0.645063682366858,1.17768262618632,0.568286946904232,0.993693771210449,1.42792487793185,0.911956332639332,0.549667004616648,0.897771724704136,1.25904342782164,0.960971277826363,0.624100607087272,1.19587014155642,1.02360772065661,1.98170950664415,0.94947137718951,1.26649874428256,0.523888333699663,0.907923054634091,0.684746836521979,1.52400016185859,0.873320623106849,1.61105336063973,0.492003325070675,0.602669108843634,-3.23294782057886,0.682481909484024,0,0.561653011924724,0.421424292080424,0.78776629686155,0,0,0.32423318194181,0.581389121893891,0.215884962216546,0,0,0,0.722566308139645,0.0396366949075791,0,0,0,0.045634367,0.46768806,-0.212840566,0.011265616,0.013637481,-0.072936653,0.111437928,-0.276969709,0.050502287,-0.219996653,0.204163081,0.604865798,0.334139994,-0.848813044,-0.298732433,-0.751646505
"SM d18:1/20:0",0.591393824042686,0.0299605116250291,1.59409660746414,1.65843672347221,0.305296778686728,1.42608832566633,0.52674065013921,1.39571780164552,0.445103967023278,0.813905505996629,1.25543053617022,0.191083323719943,0.219389188495451,1.26339884955163,0.201071864721489,0.817611385467096,0.653673575540699,1.28465478439125,0.640641830330197,0.57249411093468,0.928690559863273,0.754103541676328,1.38783041451775,-0.0744789682391186,1.99627568068251,0.892747918096995,1.94669216959446,1.1554876061062,0.879724230192058,0.712340931641622,0.758668148802953,1.46263098255038,0.545329091190855,0.915691081968656,1.04785042107078,0.961690979662243,0.541377262186824,0.222133033010518,0.788570460077586,0.763494420251657,1.38275095218966,0.649092684873064,1.15632659011995,0.760466951931508,0.94517348602091,1.35140769218556,0.800423026951894,0.843197609516673,1.00766188763264,1.20974964794691,0.432516599270597,1.08100516589121,1.05321073557792,1.58809088838029,0.794908177885903,1.23203893165465,0.386311499186284,1.82702633189639,0.74122798471854,0.78024636557402,1.18111579512899,0.81823063356811,0.741950862321442,1.14482140539709,0.967924318025483,0.692277265396391,1.28908248144223,1.11028798670633,0.91861265528804,0.710772514509421,1.7217506527769,1.14773272837414,1.56733101019061,0.872637034321918,1.25809998589474,1.00060228784907,1.02051221572504,0.388958447128504,1.43269850901914,1.13749743489364,1.99573918918865,0.514637391392402,0.371066804893373,-2.51321899972044,0.535793583949981,0,0.0923378254845276,0.324322059825674,0.56654270819745,0,0,0.0815345122810022,0.607923266001896,0.377983541136737,0,0,0,0.416380106599151,0.087244288189161,0,0,0,0.049398222,0.06620172,0.091191047,-0.129006258,-0.272254039,-0.083000991,0.089516589,0.455829586,0.507115142,-0.955883471,1.039366965,0.57458143,0.944390807,0.281703875,0.712033773,0.276687208
"SM d18:1/20:2",0.316122900902163,0.419986261868999,1.46878789327349,1.0713238396948,0.771658129334565,1.15169837098839,0.299892011233555,0.961599799185504,0.634774046734685,0.291838190359644,1.03641445074141,0.16225580660475,0.0484696673657614,-0.0437912350861797,0.346103903180066,1.33604960207993,0.63165019876065,0.621177551568258,0.533898723835374,0.127047556684541,0.364999094443133,0.775911403098583,1.09858721163708,-0.187047253809055,0.160093904406864,1.12551992297158,1.27053479328384,0.838832298181795,1.0999828658547,1.21477483077014,0.489218470161689,0.922608770464755,0.675966171508308,0.892424334303263,0.480711537850442,-0.265221907307588,-0.103548364419915,0.0671632089570478,0.835177951212038,1.45767852861233,0.937453987823864,0.607909465564995,1.82165209057977,0.308168153771432,0.347289858754427,0.487761062635245,0.669880717825597,1.18998058155658,1.18475845754103,0.711202104189551,0.447576029778224,-0.300102391325717,1.10830944893346,0.313075366718326,0.692742704601154,1.39656901160807,0.559491399000909,0.850494683185712,1.08603501355615,0.538017975169829,0.356371835957913,0.44073035061503,0.698944507402783,1.07218757631125,1.63277288524157,0.342880583325846,0.454423595339862,0.716863912963059,0.911422001909776,0.642843872861559,0.590180989534685,0.973321954257262,1.57973244156735,1.29131464824033,0.127422529056447,-0.0251726497080854,0.862310713029235,0.397810739041559,1.93020986567254,0.41103754998507,0.876781517797573,0.0948628890648986,0.582777727040861,-1.08475153063701,0.421561202104025,0,-0.272310401276958,0.391552657725725,1.07711399800438,0,0,0.162327607022984,0.953927981931347,0.0219214817707262,0,0,0,0.0326546889488642,-0.290741945201481,0,0,0,-0.85478585,-0.036804753,-1.500440617,0.313004468,0.045099745,-1.437906034,-0.083841215,-1.316087965,-0.004690944,-0.651137373,0.423367872,1.022721388,0.397114748,-0.593339456,-0.306588663,-0.1962375
"SM d18:1/22:0",0.675952739267269,0.209315583741413,1.50443351541073,1.47935703566698,0.63058982001361,0.848933506331339,0.482738601523669,1.06401587302938,0.429949642641312,0.423883764832006,1.055790424456,-0.235944732260511,0.279896192775263,0.60289051336343,0.599888851026464,1.31192544096252,0.530686662162389,1.32889285599048,0.564263127974742,0.501190616091833,0.756754813884682,0.111042194177629,0.547105409767356,0.324795403009842,0.995550500248065,0.999002014413773,1.43119080750376,1.04352041560276,0.980266313424576,0.825880666240847,0.663392551822531,0.995063928000513,0.460916780017029,0.922523521158603,0.640081079897274,0.741163560514184,0.797234255050203,0.113164137642461,0.983086614935724,1.06886701431816,0.651360761848783,0.174434046162433,0.924589650023789,0.932742365613445,1.1205603467443,1.18726754881767,0.580688622683018,0.905787970549249,1.15035642103511,0.997637038350723,0.631956944551894,1.16833181104831,1.20646057933032,1.47513715167236,1.14915692488073,1.86565951507986,0.454991022602428,1.80991803861828,0.842421398379956,0.775797161415769,1.69684702376108,0.198194958732517,0.246279610181195,1.49651045757272,0.736353496694433,0.736654497465376,1.41070166214816,1.28771771014297,1.10704488841385,0.826666785476504,1.75964731097053,0.870387756230453,1.92584120000175,0.971211227391367,1.52954328375847,1.03495584420089,0.76894294438602,0.644867362607849,1.54983345699501,1.4223060780777,2.65251778361467,0.365956801827102,0.444224666303244,0.446339110145328,0.500652188507944,0,-0.00573698220466934,0.40140978767801,1.16258880638112,0,0,-0.267903596257236,0.64362917807005,0.293088146774999,0,0,0,0.674431524722292,0.0267392978910386,0,0,0,0.614805167,0.564953463,0.547873344,-0.221661775,-0.198241826,0.242272933,0.452487739,-0.326187676,-0.241072838,-0.143031182,-0.097527098,-0.027040839,0.097942137,-0.505209473,-0.169919379,-0.760357275
"SM d18:1/22:1",0.770348159837529,0.231633084428258,1.64298388126855,1.34389106736552,0.352873842583191,0.929150441814632,0.502689233924216,1.09900991061484,0.519235387032949,0.0159730816110619,0.765880125204703,0.186313867629166,0.327340400130783,0.423168321572637,0.345904230002566,1.39311973543903,0.419500078088538,1.41902030143412,0.682286016910922,0.517117872147634,0.626692925794081,0.684469122656882,0.898903737354514,0.169630579957165,0.648477531848512,0.758446848050943,1.66864430479955,1.23778105967885,0.752642923862657,0.86504813931855,0.828693643606034,0.881684338772183,0.341509887459344,0.913247111931317,0.540597340919468,0.553651347986292,0.861434573892421,0.373509960181139,0.692373720526208,1.09396301185049,1.45849580698853,0.835711664846216,1.08159575708505,0.849285781176959,0.839808525008995,1.42785898204848,0.895866272635155,0.824300570718118,1.03085880078459,1.12424106988043,0.701451413041328,1.15940094767115,1.01405223084833,1.6242156700521,0.81371530950076,1.63646598697472,0.597207304389021,1.50766435708379,0.790883364940013,0.582729203188484,1.45478733166985,0.882443297042102,0.936831258320766,1.96597951491251,0.893247055188301,0.789845477920436,1.11131661085953,1.5333012828826,1.08382966793958,0.690107217973052,1.46730386522785,1.41147748268809,1.56516728907563,0.94095521085185,1.51966923753667,0.769944692397188,1.25974523714745,0.387413956791351,1.51388046754658,1.23218350560195,1.97141684002728,0.655840516972635,0.767262285201778,-2.06647586384533,0.512248249756675,0,0.635925313148216,0.679242821762405,0.811471440710414,0,0,0.0574663105795312,0.474001982042165,0.329101575203278,0,0,0,0.417207676045476,0.0402544625439901,0,0,0,0.349430058,1.230736231,0.263225584,0.045048848,-0.060530926,0.230440739,0.309071085,-0.420932017,0.349422824,-0.385472762,0.068792262,0.342925512,0.084786656,-0.799114037,-0.383782792,0.620800799
"SM d18:1/22:2",0.65287094801534,0.21773457222498,1.76813026769138,1.16298382722579,0.530056353399462,1.22479349401793,0.810109229862749,0.688696174475623,0.748280998816461,0.19218091561012,1.4244435435785,0.105868193618539,0.456251325351995,0.276163077431808,0.378729835450687,1.59717523148117,0.256441246279536,0.952597848619129,0.788890845949793,0.516373732071851,0.45300253316741,0.575347959797336,0.962870224004967,0.549891991670597,0.98071631438782,0.965555106276404,1.88469738688689,1.16629707832745,0.948617445866641,0.734428585041726,0.767866190785537,0.628734752685637,0.739593062189822,1.07491898692123,0.367056509210737,-0.244811817334506,0.561971734757218,0.199108987180914,0.784742796423403,1.4644320772568,1.48407936556392,-0.480149949296767,2.77248562660631,-0.707256984068044,1.11032961140653,1.23334319905627,1.03085321977656,1.81952045928781,0.945455069206461,0.40478814426434,0.759285160071149,0.180648644759643,1.09952099413908,1.44570139328494,1.00713233870974,1.23797019787134,0.7818090992198,1.96640187802612,3.47501566964582,0.597320202087687,0.935472793753792,0.904131746265894,-0.437282095430212,1.24205777245046,2.58292482388117,0.346929510549941,0.824041183771115,0.999111769236992,1.25233578137025,2.17200986373827,1.3613062060165,1.06905471267796,1.8873896172122,1.50394726387096,1.01897953183809,0.673857155066799,0.949146324625226,0.617420157117477,2.18287955125971,1.04098799589721,2.08052825037999,0.213159842175099,2.18516572874756,0.0780694806960701,0.839094795937867,0,0.364738179621528,-0.109549000747508,0.873720654626578,0,0,-0.306581599132778,0.466542985889512,0.210337772105396,0,0,0,-0.023388870744072,0.0396230182064445,0,0,0,-0.219905344,0.204098556,-0.121288192,1.403038758,1.098471135,-0.369542044,0.346635607,-0.068836676,-0.152359991,-0.071669708,0.281461181,1.230733539,0.510035498,-0.699710123,-0.860911543,0.341777791
