"gene_symbol","P1_deduped.bam","P2_deduped.bam","P3_deduped.bam","P4_deduped.bam","P5_deduped.bam","P6_deduped.bam","P7_deduped.bam","P8_deduped.bam","P9_deduped.bam","P10_deduped.bam","P11_deduped.bam","P12_deduped.bam","P13_deduped.bam","P14_deduped.bam","P15_deduped.bam","P16_deduped.bam","P17_deduped.bam","P19_deduped.bam","P20_deduped.bam","P21_deduped.bam","P22_deduped.bam","P23_deduped.bam","P24_deduped.bam","P25_deduped.bam","P26_deduped.bam","P27_deduped.bam","P28_deduped.bam","P29_deduped.bam","P30_deduped.bam","P31_deduped.bam","P32_deduped.bam","P33_deduped.bam"
"GOT2",117,237,130,157,1668,93,471,224,2,0,0,154,215,0,356,2765,1,37,622,434,61,0,0,0,0,661,0,261,37,2,279,53
"GP2",0,0,78,10,0,0,0,0,0,0,0,1,0,0,13,1,0,0,10,4,7,0,0,0,0,0,0,0,0,0,48,4
"GP9",0,3,4,1,1,1,1,1,71,23,46,2,5,24,2,3,136,1,5,4,3,11,6,30,26,3,14,0,2,21,3,1
"GP91-PHOX",10,46,123,60,18,179,7,17,0,0,0,11,64,0,109,11,0,5,5,27,150,0,0,0,0,4,0,0,2,0,1,133
"GPA33",0,0,13,172,21,1,47,0,0,0,0,0,0,0,452,2,0,0,0,105,0,0,0,0,0,0,0,4,0,0,0,1
"GPAA1",33,176,74,96,110,121,52,73,0,0,0,65,201,0,226,230,0,65,232,258,89,0,0,0,0,60,0,27,56,0,94,43
"GPALPP1",13,74,48,31,84,48,35,29,0,0,0,22,59,0,58,107,0,18,46,68,39,0,0,0,0,18,0,6,4,0,31,25
"GPAM",34,70,36,29,44,61,40,16,0,1,1,71,57,0,31,75,1,43,28,82,13,0,0,0,1,16,0,4,11,0,15,9
"GPANK1",7,60,132,45,64,57,43,37,0,0,1,10,97,0,89,158,0,18,55,59,84,0,0,0,0,22,1,20,20,0,24,34
"GPAT2",1,0,0,0,0,0,0,1,43,6,9,0,1,1,0,1,21,0,1,0,0,0,2,3,1,0,2,0,0,25,0,0
"GPAT3",36,52,6,5,164,13,9,7,1,0,1,66,22,0,19,246,0,10,536,114,6,0,0,0,0,25,0,2,6,0,95,2
"GPAT4",59,578,75,73,252,176,105,110,0,0,0,136,736,0,154,642,0,33,196,595,95,0,1,0,0,131,0,32,135,0,106,63
"GPATCH1",2,53,33,20,21,31,19,11,0,0,0,4,47,0,50,44,0,10,37,45,20,0,0,0,0,9,0,2,7,0,25,12
"GPATCH11",3,25,18,5,23,10,18,9,0,0,0,12,33,0,26,34,0,7,16,22,7,0,0,0,0,9,0,10,6,1,10,11
"GPATCH2",19,116,112,75,87,110,37,63,11,0,0,34,131,0,163,133,0,52,215,188,104,0,0,0,0,33,0,15,32,1,96,54
"GPATCH2L",17,141,90,47,104,91,57,43,1,0,0,30,121,0,107,155,0,36,127,122,69,0,0,0,0,41,0,12,26,0,71,41
"GPATCH3",8,34,28,22,27,22,12,17,3,4,3,10,42,0,73,49,6,18,37,58,27,0,0,1,0,9,1,7,9,1,14,14
"GPATCH4",17,72,30,23,31,44,13,13,1,0,1,32,52,0,52,72,9,15,57,138,44,0,1,1,0,4,4,9,8,1,17,24
"GPATCH8",54,193,125,85,163,149,136,100,0,0,1,95,242,0,172,387,1,90,183,292,105,0,0,0,0,62,0,43,42,0,134,79
"GPBP1",39,181,148,78,155,119,83,43,0,0,0,64,107,0,230,259,0,45,98,132,94,0,0,0,0,42,1,20,9,0,56,77
"GPBP1L1",35,230,184,145,200,191,86,72,2,3,5,40,223,0,284,263,9,92,163,242,97,0,0,1,3,50,5,29,36,1,91,58
"GPC1",5,94,11,14,176,27,102,82,0,0,1,0,126,0,31,409,0,41,20,136,29,0,0,1,0,142,1,66,100,0,26,17
"GPC2",0,1,2,0,0,1,0,0,11,12,9,0,1,1,0,1,24,0,0,0,0,0,1,1,3,0,4,0,2,1,3,1
"GPC3",111,459,4,5,48,102,14,83,0,0,0,103,356,0,14,101,0,22,82,327,9,0,0,0,0,8,0,5,61,0,25,18
"GPC4",14,53,8,9,69,49,11,20,0,0,0,3,53,0,42,53,0,13,212,73,14,0,0,0,0,13,0,7,17,0,79,11
"GPC6",17,97,49,20,38,2,3,39,0,0,1,42,62,3,64,41,0,3,6,54,76,0,0,0,0,10,0,1,21,0,3,50
"GPCPD1",19,127,129,106,206,217,164,79,0,0,1,31,111,0,312,232,0,27,128,155,153,0,0,0,0,71,0,75,32,0,49,153
"GPD1",79,791,22,8,62,27,664,399,46,8,25,180,811,11,32,74,21,25,345,660,8,3,8,9,12,24,3,609,102,7,46,3
"GPD1L",82,72,85,110,513,159,35,36,0,0,0,245,50,0,260,913,0,21,246,171,318,0,0,0,0,268,0,14,14,0,172,306
"GPD2",3,170,31,167,134,203,212,47,0,1,2,9,67,0,637,162,4,23,54,72,26,0,1,0,0,25,2,91,15,0,36,23
"GPER1",0,49,5,9,10,9,2,6,10,5,11,0,45,5,55,27,26,8,5,15,4,4,6,5,9,7,8,3,13,4,9,3
"GPHN",25,65,15,25,106,58,54,26,10,0,1,36,52,2,67,158,4,31,187,101,12,4,0,0,0,48,0,26,4,1,32,13
"GPI",48,351,232,218,408,152,484,404,0,0,0,42,431,0,404,768,0,97,304,415,110,0,0,0,0,168,1,574,89,0,145,118
"GPIHBP1",1,214,3,4,72,246,79,61,0,1,2,0,426,0,13,310,28,19,24,306,63,0,3,0,0,34,8,4,52,0,28,34
"GPKOW",11,91,45,21,50,50,25,31,3,0,0,23,126,1,79,177,4,28,159,117,33,0,1,0,0,33,1,16,20,0,55,19
"GPLD1",109,1,0,1,1,473,19,3,46,13,24,96,1,6,1,3,36,30,2,4,0,2,3,10,4,0,6,0,1,12,0,0
"GPM6A",1,5,2,0,4,61,2,5,0,0,0,0,2,0,4,1,0,1,0,14,4,0,0,0,0,1,0,0,0,0,0,5
"GPM6B",7,414,35,29,56,101,15,83,4,4,16,6,311,7,75,71,45,16,27,172,86,1,0,3,12,13,19,2,29,1,21,74
"GPN1",8,46,43,17,52,22,19,12,6,2,5,16,32,2,49,79,9,6,38,49,22,0,1,1,5,7,4,7,2,0,11,10
"GPN3",4,17,23,8,19,13,12,11,0,0,1,3,17,0,18,38,0,5,16,7,9,0,0,0,0,11,0,4,4,0,9,6
"GPNMB",19,389,84,91,5,148,19,56,0,0,0,55,354,0,213,14,0,103,81,55,87,0,0,0,0,1,0,2,27,0,164,101
"GPR1",0,6,7,1,12,1,4,9,0,0,0,0,3,0,2,8,2,6,1,5,15,0,0,0,0,3,0,0,1,0,2,6
"GPR107",20,192,85,57,116,122,46,81,0,1,18,22,247,3,138,204,13,67,232,255,78,0,2,2,3,61,3,17,80,0,112,45
"GPR108",6,83,19,29,22,35,6,29,0,0,1,8,73,0,55,45,0,13,51,96,33,0,0,0,1,5,0,2,16,0,27,12
"GPR132",1,1,28,29,1,22,0,3,0,0,0,1,3,0,55,4,0,1,7,10,47,0,0,0,1,2,0,0,0,0,2,16
"GPR137",4,65,43,32,43,47,14,47,0,0,0,5,100,2,39,54,3,21,66,62,40,1,0,1,0,16,0,2,24,0,31,16
"GPR137B",6,105,30,11,14,33,6,20,2,0,4,4,69,1,41,17,0,16,143,57,39,0,2,0,1,10,1,1,13,0,26,49
"GPR137C",1,2,1,1,80,12,3,1,0,0,0,1,1,1,3,102,3,1,0,6,3,0,0,0,0,32,1,0,0,0,0,1
