"gene_symbol","P1_deduped.bam","P2_deduped.bam","P3_deduped.bam","P4_deduped.bam","P5_deduped.bam","P6_deduped.bam","P7_deduped.bam","P8_deduped.bam","P9_deduped.bam","P10_deduped.bam","P11_deduped.bam","P12_deduped.bam","P13_deduped.bam","P14_deduped.bam","P15_deduped.bam","P16_deduped.bam","P17_deduped.bam","P19_deduped.bam","P20_deduped.bam","P21_deduped.bam","P22_deduped.bam","P23_deduped.bam","P24_deduped.bam","P25_deduped.bam","P26_deduped.bam","P27_deduped.bam","P28_deduped.bam","P29_deduped.bam","P30_deduped.bam","P31_deduped.bam","P32_deduped.bam","P33_deduped.bam"
"A1BG",1071,0,1,0,2,0,0,6,0,1,0,882,0,1,0,30,4,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1
"A1CF",302,0,4,21,11,1,0,0,0,0,0,410,0,0,50,12,0,0,104,12,0,0,0,1,0,0,0,0,0,0,15,0
"A2M",5675,25,38,192,281,2431,145,35,0,0,0,4084,40,0,357,228,0,3,659,322,110,0,0,0,0,31,0,1,4,0,80,24
"A3GALT2",0,0,0,0,2,1,0,0,24,7,1,0,0,3,0,1,3,0,0,0,0,0,0,15,1,1,1,0,0,4,0,0
"A4GALT",2,71,66,31,121,86,17,26,0,0,1,2,103,0,86,360,0,26,117,116,43,0,0,0,0,47,0,2,21,0,34,22
"A4GNT",0,0,3,42,2,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",6,33,27,15,6,16,5,13,0,3,0,5,25,0,42,17,2,3,22,34,8,0,1,0,0,4,1,0,9,0,8,4
"AACS",40,64,26,54,37,38,14,102,0,0,0,121,112,0,133,65,1,23,53,146,17,0,0,0,0,8,0,4,81,0,45,14
"AADAT",0,0,0,0,0,0,0,0,8,4,1,0,0,0,0,0,9,1,191,100,0,1,0,0,0,0,2,0,1,2,14,0
"AAED1",11,76,11,8,42,14,29,32,1,0,0,17,59,0,41,95,1,16,43,42,6,0,0,0,0,26,0,13,6,0,21,6
"AAGAB",13,83,32,32,86,48,60,41,53,74,10,19,75,13,81,129,77,22,73,93,43,6,9,33,27,36,16,26,18,15,50,21
"AAK1",0,130,27,33,147,43,67,78,2,0,1,3,184,2,85,357,1,42,221,152,56,0,0,0,0,88,0,23,39,0,52,22
"AAMDC",4,26,12,10,71,6,41,12,1,1,1,21,14,0,16,93,4,7,19,17,6,0,1,1,0,19,1,10,4,0,6,1
"AAMP",27,125,53,62,77,49,43,34,0,0,0,63,123,0,116,149,1,40,165,173,61,0,0,0,0,37,0,15,31,0,56,42
"AAR2",28,63,34,30,49,39,16,20,0,0,0,33,37,0,61,85,0,9,139,101,30,0,0,0,0,24,0,13,14,0,42,14
"AARD",0,0,0,0,12,8,0,0,0,0,0,0,1,0,1,11,2,0,0,1,3,0,0,0,0,1,1,0,0,0,0,3
"AARS",64,425,176,177,267,170,108,147,0,0,0,100,267,0,342,384,0,43,406,411,145,0,0,0,0,67,0,87,48,0,143,90
"AARS2",8,49,42,40,48,39,19,22,0,0,2,7,54,0,83,117,2,14,80,52,31,0,0,1,0,20,0,7,15,0,39,20
"AARSD1",21,71,45,46,76,37,41,34,0,0,0,17,83,0,143,143,0,19,101,136,54,0,0,0,0,24,0,21,25,0,32,32
"AASDH",20,97,51,28,63,57,28,38,11,2,1,16,61,4,68,73,1,26,65,64,31,0,0,8,11,7,0,5,11,7,43,17
"AASDHPPT",6,47,17,10,36,16,6,8,0,0,0,18,27,0,28,39,1,11,27,23,11,0,0,0,0,5,0,1,6,0,11,8
"AASS",122,15,9,7,45,8,10,12,0,0,0,186,14,0,15,121,0,12,97,49,9,0,0,0,0,11,0,8,3,0,187,3
"AATF",5,63,26,20,24,30,7,23,2,0,0,11,53,0,49,35,1,13,75,66,29,0,1,0,0,5,0,3,9,0,26,18
"AATK",0,2,3,0,8,0,0,4,8,12,3,0,2,2,1,21,71,4,2,7,0,1,0,2,2,4,32,0,0,3,0,1
"ABAT",32,84,7,5,2,4,1,35,0,0,0,32,116,0,16,2,0,31,481,310,12,0,0,0,0,1,0,0,14,0,91,3
"ABCA1",165,575,328,265,190,490,156,393,0,0,2,174,805,1,618,543,0,252,530,1121,405,0,0,0,0,110,0,38,106,0,274,337
"ABCA12",0,0,0,26,1,2,0,0,0,0,0,0,0,0,461,0,0,130,1,0,0,0,0,0,0,0,0,0,6,0,0,0
"ABCA2",21,287,110,127,262,249,53,162,0,3,0,28,459,1,322,590,35,104,262,367,158,0,0,0,0,138,2,12,164,0,353,74
"ABCA3",22,70,209,72,37,664,41,22,0,1,1,35,74,0,95,61,4,15,10,62,28,0,0,0,0,18,3,5,23,0,19,17
"ABCA4",2,39,2,1,3,30,1,8,4,1,0,0,36,0,2,11,3,0,38,25,11,0,0,0,0,3,1,1,6,0,67,3
"ABCA5",7,24,37,52,105,35,66,17,0,0,0,7,27,0,65,176,0,5,61,57,61,0,0,0,0,30,0,18,7,0,29,27
"ABCA6",180,422,45,25,252,49,73,173,0,0,0,263,527,0,76,411,0,122,94,415,6,0,0,0,0,66,0,25,63,0,40,4
"ABCA7",4,73,104,56,19,51,8,21,0,0,0,1,77,2,88,26,1,17,21,66,46,0,0,0,1,7,0,2,25,0,31,23
"ABCB1",34,32,53,54,83,26,4,20,1,0,2,87,11,10,242,56,3,2,13,26,16,0,0,5,2,12,0,0,3,1,22,23
"ABCB10",23,57,46,29,53,82,19,23,0,1,0,37,48,0,83,58,2,26,56,89,33,0,0,0,0,21,0,8,20,0,38,27
"ABCB11",214,0,0,0,3,2,0,0,0,0,1,249,1,0,0,5,0,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0
"ABCB4",65,4,0,1,3,1,0,0,0,1,0,403,2,1,0,12,7,0,0,2,0,1,1,0,1,0,0,0,0,0,1,1
"ABCB6",4,56,11,112,45,18,25,26,0,1,1,10,67,0,364,59,1,19,64,117,7,0,0,0,0,18,0,12,19,0,47,11
"ABCB7",18,50,59,30,78,31,25,11,0,0,0,27,40,0,78,114,0,18,48,52,37,0,0,0,0,17,0,10,3,0,27,23
"ABCB8",9,81,49,54,41,42,12,20,0,0,0,16,60,0,108,101,0,16,63,115,31,0,0,0,0,30,0,12,30,0,33,16
"ABCB9",0,8,5,11,4,5,2,4,0,0,1,0,8,0,36,7,1,5,4,5,1,0,0,0,0,1,0,2,3,0,3,0
"ABCC1",5,212,97,108,154,80,119,77,4,0,0,5,180,0,243,261,1,47,30,153,96,0,0,0,0,35,0,63,63,0,48,63
"ABCC10",15,123,228,121,71,138,34,94,0,10,0,20,190,0,173,131,6,71,154,328,144,0,0,1,1,30,0,14,72,0,88,68
"ABCC2",146,4,1,3,13,1,0,0,0,3,2,160,0,2,17,5,7,2,562,123,0,1,0,2,1,0,1,0,0,0,60,0
"ABCC3",23,38,41,150,14,92,10,11,2,1,6,53,44,1,472,23,7,15,28,221,37,0,0,0,0,11,0,2,8,1,20,32
"ABCC4",10,27,43,57,94,57,25,16,2,0,2,31,29,1,122,139,2,15,472,179,68,1,0,1,0,18,0,26,6,1,250,39
"ABCC5",4,353,84,79,71,379,98,218,0,0,0,6,355,0,170,136,1,51,102,605,230,0,0,0,0,44,0,30,52,1,107,131
"ABCC6",132,5,5,4,3,1,1,0,0,0,0,96,2,0,3,5,0,1,327,55,0,0,0,0,0,0,1,0,0,1,47,0
"ABCC8",0,1,0,1,2,12,0,3,0,1,0,0,2,0,3,7,0,0,1,17,0,0,0,0,0,0,0,1,1,0,0,0
"ABCC9",14,106,23,17,559,56,138,53,2,0,1,22,51,0,33,731,2,16,31,58,52,0,0,1,0,127,0,47,3,0,12,20
"ABCD1",2,49,27,48,136,66,33,28,1,0,1,12,87,1,82,224,3,17,36,61,63,0,0,0,0,37,0,12,20,0,21,30
"ABCD2",0,52,1,2,0,0,0,11,0,0,0,0,63,0,7,0,0,0,0,54,0,0,0,0,0,0,0,0,2,0,0,0
"ABCD3",55,141,31,45,122,54,26,27,1,0,0,208,123,0,179,182,0,30,176,153,21,0,0,0,0,44,0,11,16,0,54,8
"ABCD4",16,98,40,45,68,68,22,42,0,0,0,30,100,0,103,78,2,21,127,159,40,0,0,0,0,26,0,8,26,0,65,23
"ABCE1",36,98,53,32,61,41,30,23,2,0,2,61,57,2,69,77,5,29,62,49,33,0,0,4,0,23,0,10,7,0,26,29
"ABCF1",26,211,141,112,155,140,119,80,0,0,0,53,276,0,222,345,0,59,241,321,116,0,0,0,0,75,0,78,51,0,109,75
"ABCF2",4,89,32,23,59,35,85,38,0,0,0,14,90,0,59,131,0,17,79,105,25,0,1,0,0,18,1,65,16,0,29,19
"ABCF3",32,160,70,45,187,88,93,69,0,0,0,33,151,0,129,410,0,43,273,195,62,0,0,0,0,68,0,34,31,0,94,38
"ABCG1",8,17,96,44,24,74,20,14,0,0,0,17,16,0,133,47,1,26,40,122,148,0,0,0,0,10,0,5,4,0,33,144
"ABCG2",2,56,30,27,77,40,23,22,0,0,0,23,44,0,164,40,0,9,46,75,33,0,0,0,0,5,0,5,4,1,34,28
"ABCG5",12,0,2,0,12,0,0,0,7,2,2,35,0,0,0,1,14,0,0,2,0,1,1,2,0,0,2,0,0,1,0,0
"ABCG8",17,0,0,0,8,0,0,0,0,0,0,37,0,0,0,3,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD1",0,5,3,1,1,3,1,0,10,19,16,0,1,6,2,1,39,1,3,11,4,1,1,5,10,2,7,0,0,5,2,4
"ABHD10",5,44,21,3,18,20,9,8,0,0,0,8,28,0,15,35,1,3,32,22,14,0,0,0,0,15,0,3,2,0,20,7
"ABHD11",6,47,31,30,108,41,14,11,0,0,0,15,30,5,97,122,2,6,73,112,16,0,0,28,26,25,0,5,9,0,52,14
"ABHD12",4,41,24,17,29,54,11,19,0,0,1,8,72,0,51,57,1,13,81,83,86,0,0,0,1,9,0,7,18,0,27,70
"ABHD12B",0,0,0,1,0,1,0,0,20,27,64,0,1,16,0,0,83,29,0,0,0,3,11,16,15,0,16,0,0,5,0,0
"ABHD13",18,60,60,46,39,58,38,11,0,0,0,28,46,0,103,63,0,13,74,72,38,0,0,0,0,19,0,9,11,0,22,23
"ABHD14A",23,110,76,38,90,105,25,59,18,2,5,29,132,1,77,145,14,36,84,166,66,3,2,10,8,30,5,9,31,3,65,38
"ABHD14B",41,68,25,61,35,52,15,32,33,20,35,19,115,11,136,48,56,20,109,98,32,1,11,26,18,13,13,2,22,16,58,24
"ABHD15",0,54,24,11,5,16,0,32,9,3,28,5,92,12,18,3,20,3,44,111,20,0,1,6,6,1,5,0,27,2,17,8
"ABHD16A",15,165,60,101,138,65,44,54,7,4,25,26,202,6,222,244,42,35,156,227,70,0,2,3,5,56,10,25,38,1,55,34
"ABHD17A",35,212,140,135,167,136,99,80,0,0,0,60,254,0,384,393,0,73,194,223,124,0,0,0,0,99,0,64,63,0,96,115
"ABHD17B",8,60,46,60,38,37,30,21,0,0,0,10,52,0,209,64,1,17,62,77,23,0,0,0,0,16,0,11,18,0,44,20
"ABHD17C",7,42,21,69,35,107,4,10,2,0,2,23,49,0,208,68,9,36,83,65,22,1,0,0,3,14,2,0,10,0,35,11
"ABHD18",11,7,11,6,60,5,28,5,0,0,0,12,4,0,13,81,1,8,4,9,2,0,0,0,0,29,0,2,3,0,1,3
"ABHD2",208,396,119,210,414,284,141,114,0,0,0,404,213,0,579,642,0,113,225,219,133,1,0,0,0,158,0,48,63,0,164,95
"ABHD3",11,49,7,4,7,35,3,2,2,0,0,42,24,0,40,9,2,0,68,24,9,0,0,1,0,0,0,0,5,1,14,4
"ABHD4",15,68,7,31,161,54,157,47,0,0,0,26,83,0,117,360,0,25,52,83,13,0,0,0,0,156,0,62,19,0,27,3
"ABHD5",47,240,20,16,25,11,18,6,0,0,0,203,153,0,36,47,0,24,13,78,9,0,0,0,0,4,0,2,11,0,8,9
"ABHD6",7,23,36,22,80,22,2,6,0,0,2,23,32,0,51,143,0,13,25,38,35,0,0,0,0,25,0,0,5,0,24,21
"ABHD8",1,54,6,4,16,9,10,11,0,0,2,2,49,1,15,19,0,23,10,30,8,0,0,0,0,5,0,9,12,0,15,6
"ABI1",18,216,174,83,57,112,31,55,0,0,0,27,192,1,252,109,0,63,91,203,135,0,0,1,0,23,0,15,19,0,49,97
"ABI2",0,60,20,9,33,59,10,24,229,30,95,2,48,29,18,50,144,9,34,48,11,89,29,50,27,8,49,3,7,51,21,10
"ABI3BP",4,469,161,89,93,60,59,375,5,0,0,7,424,0,181,79,2,227,24,126,25,0,1,1,0,18,2,10,76,1,1,9
"ABL1",14,435,170,129,564,322,115,245,0,0,0,27,656,0,285,1303,0,147,368,584,146,0,0,0,0,193,0,43,154,0,281,112
"ABL2",42,338,155,72,159,202,60,76,7,12,8,60,224,1,255,194,9,50,235,335,109,0,1,1,3,35,3,16,49,2,116,66
"ABLIM1",79,560,474,389,3753,371,123,229,1,0,0,117,551,0,561,6161,1,224,874,1040,252,0,0,1,0,1575,0,29,105,0,481,112
"ABLIM2",4,59,17,18,128,61,259,58,0,0,0,10,73,0,26,291,0,24,2,44,6,0,0,0,0,123,0,196,20,0,3,6
"ABLIM3",60,206,20,16,321,335,182,68,29,3,2,54,370,2,40,701,14,18,583,494,11,1,3,2,2,187,2,58,56,2,140,10
"ABO",0,0,2,17,3,0,0,0,0,0,0,0,0,0,37,0,0,0,58,15,0,0,0,0,0,0,0,0,0,0,27,0
"ABR",20,511,378,323,370,377,56,129,14,15,16,53,471,5,614,574,37,113,272,417,329,0,2,9,19,121,15,29,139,0,112,293
"ABRA",0,0,0,20,704,1,486,49,2,0,0,0,0,0,24,2047,2,2,0,0,0,0,0,0,1,260,0,160,0,0,0,0
"ABRACL",0,7,23,17,3,20,0,0,0,0,0,1,10,0,46,2,0,1,13,11,20,0,0,0,0,0,0,0,1,0,3,9
"ABRAXAS1",10,26,34,14,27,16,19,13,26,12,26,26,21,9,45,34,26,11,42,23,24,2,6,8,7,10,5,4,5,6,15,12
"ABRAXAS2",5,41,44,20,33,44,20,9,0,0,0,9,43,0,44,64,0,18,39,50,24,0,0,0,0,12,0,4,8,0,18,13
"ABT1",13,56,58,36,42,53,22,10,0,0,0,42,48,0,84,103,0,19,73,86,44,0,0,0,0,24,0,19,8,0,45,36
"ABTB1",9,98,51,44,62,64,40,50,42,69,58,8,125,14,66,125,105,20,64,107,44,0,46,20,32,44,25,17,34,6,38,24
"ABTB2",105,35,21,23,93,25,13,13,2,1,0,166,44,1,34,132,1,68,112,95,29,0,0,0,1,22,0,1,15,0,79,28
"ACAA1",276,1027,88,78,82,104,29,188,41,24,88,539,1042,32,164,122,115,55,1439,996,81,6,15,27,34,45,37,7,180,12,220,56
"ACAA2",364,114,32,82,725,21,120,46,0,0,0,625,128,0,172,1626,0,15,152,109,24,0,0,0,0,272,0,32,12,0,56,14
"ACACA",53,463,150,116,187,216,40,217,12,0,9,112,453,6,187,233,8,94,126,602,77,0,2,3,1,39,7,10,112,4,79,43
"ACACB",2,50,53,33,947,16,217,72,0,0,0,0,65,0,47,2075,0,7,186,198,28,0,0,0,0,333,0,128,4,0,299,11
"ACAD10",26,71,58,39,157,35,47,37,15,1,0,23,68,1,56,262,0,20,116,116,54,0,0,3,0,57,0,18,20,4,56,20
"ACAD11",153,62,25,26,94,29,24,32,4,4,4,244,59,4,66,124,11,21,244,78,15,1,6,3,1,40,3,14,13,2,57,18
"ACAD8",29,204,41,50,101,43,32,69,0,0,0,36,174,0,110,213,0,23,180,199,21,0,1,0,0,31,0,13,58,1,68,8
"ACAD9",29,74,33,21,75,31,19,30,0,0,0,41,91,0,53,143,8,62,122,106,30,0,0,0,0,41,3,10,32,0,54,19
"ACADL",40,107,35,28,541,23,52,26,1,0,0,126,84,0,72,1162,1,28,253,76,25,0,0,0,0,159,0,16,6,1,31,12
"ACADM",189,153,56,58,443,38,258,38,1,1,0,488,129,0,163,1090,0,20,476,105,31,0,0,0,0,287,0,80,17,0,99,21
"ACADS",121,161,67,237,279,104,130,100,0,0,1,260,211,0,791,486,0,38,484,281,77,0,0,0,0,120,0,69,44,0,137,45
"ACADSB",279,172,40,39,483,32,93,86,1,2,8,594,144,2,59,777,9,20,450,228,30,0,2,4,2,127,0,50,17,2,149,24
"ACADVL",62,327,72,148,915,102,146,114,20,7,12,134,333,7,331,2253,27,43,865,557,85,2,11,14,11,377,9,74,63,3,406,32
"ACAN",1,1,0,0,0,1,0,0,17,2,0,0,2,0,1,0,7,0,0,0,0,14,0,0,2,3,0,0,5,5,0,0
"ACAP1",8,3,236,85,8,48,3,2,3,1,28,8,18,1,151,6,26,15,6,32,104,0,2,4,5,1,3,0,7,3,15,41
"ACAP2",50,371,127,103,98,120,35,61,0,0,0,110,314,0,257,115,2,109,107,181,132,0,0,0,0,30,0,10,60,0,63,80
"ACAP3",4,162,26,22,18,56,19,69,0,1,1,6,179,1,55,29,3,62,30,63,22,0,0,0,0,7,0,7,75,0,23,13
"ACAT1",116,114,49,75,384,47,162,40,2,2,1,213,115,0,125,500,4,21,97,93,27,0,0,2,0,127,1,60,14,0,50,16
"ACAT2",23,49,26,39,6,36,4,11,1,3,8,36,46,0,148,10,9,8,17,112,12,0,0,1,1,3,3,0,9,1,6,7
"ACBD3",4,137,51,51,66,41,26,35,0,0,0,14,122,0,156,106,0,47,61,123,41,0,0,0,0,11,0,14,14,0,31,23
"ACBD4",3,23,21,9,27,22,7,10,14,6,18,3,49,4,25,54,22,14,72,43,13,0,1,4,6,14,4,7,9,3,31,4
"ACBD5",72,199,30,42,143,71,76,48,2,2,0,84,217,0,101,254,2,35,245,172,38,0,0,0,0,39,1,34,20,1,106,30
"ACBD6",18,93,66,49,74,57,52,38,0,0,0,31,113,0,88,137,1,43,92,126,47,0,0,0,0,27,0,10,23,0,42,34
"ACCS",6,40,5,5,14,21,1,31,3,5,0,5,58,0,9,22,6,7,13,58,5,0,1,0,0,7,2,2,33,2,13,6
"ACD",3,44,24,13,13,21,2,16,0,0,0,6,49,0,22,26,1,13,17,36,30,0,0,0,0,9,0,3,5,0,11,13
"ACE",8,231,19,8,118,398,78,166,19,3,0,4,316,0,46,226,1,39,1155,349,65,0,0,0,0,39,0,7,69,7,428,36
"ACE2",4,112,8,9,53,2,2,8,0,0,0,5,124,0,5,6,0,0,490,160,10,0,0,0,0,0,0,0,25,0,132,6
"ACER2",4,94,11,13,34,40,10,43,0,0,0,1,149,0,28,44,0,11,40,171,23,0,0,0,0,16,0,3,38,0,52,11
"ACER3",10,603,63,38,84,150,26,69,0,0,0,17,369,0,118,148,1,14,139,296,118,0,0,0,1,29,1,5,66,0,41,84
"ACIN1",68,583,503,286,419,422,219,233,0,0,0,82,817,0,629,892,0,177,751,1000,385,0,1,0,0,146,1,93,132,0,355,184
"ACKR1",0,321,14,7,18,9,9,76,0,0,0,0,229,0,15,36,0,32,1,160,14,0,0,0,0,0,0,4,43,0,0,8
"ACKR2",9,1070,47,72,142,111,44,337,1,0,3,25,794,0,165,495,1,110,114,946,34,6,0,0,0,57,0,15,291,0,42,15
"ACKR3",2,446,24,22,43,13,8,68,0,0,0,2,279,0,83,48,0,18,177,293,37,0,0,0,0,13,0,2,70,0,85,15
"ACKR4",2,448,13,17,2,39,4,20,21,0,2,1,256,1,62,4,4,41,1,116,7,0,0,0,1,0,0,1,6,2,2,4
"ACLY",16,523,100,96,65,128,33,117,2,0,1,37,366,0,304,92,1,96,278,474,109,0,0,0,0,27,0,11,133,0,116,78
"ACMSD",19,1,0,0,1,0,0,0,2,2,4,15,0,1,1,1,4,0,159,35,0,0,2,0,0,0,0,0,3,1,54,0
"ACO1",144,274,40,62,176,58,29,71,6,2,7,195,215,3,170,218,15,23,389,302,44,3,0,2,1,41,2,8,65,1,126,37
"ACO2",59,453,216,332,1918,222,803,303,6,2,5,85,473,1,710,3294,5,75,1448,834,162,0,0,0,1,766,1,517,138,0,699,135
"ACOD1",9,1,4,23,4,10,0,0,0,0,3,8,3,0,5,1,0,0,1,1,8,0,1,0,0,0,0,0,0,1,2,14
"ACOT11",1,19,48,24,377,18,49,25,621,29,0,2,50,4,43,893,1,8,335,275,21,0,0,1,0,107,0,28,10,190,110,7
"ACOT12",27,1,0,0,2,0,0,0,4,0,4,46,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
"ACOT13",77,25,20,32,276,20,96,16,85,10,43,137,25,17,44,450,50,12,160,64,14,12,4,27,20,102,16,26,5,30,30,15
"ACOT6",6,30,10,5,34,12,3,10,6,1,4,10,18,0,14,49,2,4,51,28,5,0,0,1,2,19,0,4,16,1,9,5
"ACOT7",2,17,34,64,1,10,1,0,0,0,0,7,12,0,183,1,2,17,0,6,13,0,0,0,0,1,0,0,5,0,2,5
"ACOT8",7,54,25,20,53,20,9,18,0,1,2,23,48,0,49,56,7,12,75,63,15,0,3,2,4,13,0,5,11,0,21,4
"ACOT9",1,64,17,15,150,21,16,13,0,0,1,4,59,0,31,237,0,13,23,36,16,0,0,0,0,41,0,5,5,0,22,9
"ACOX1",284,1455,141,157,259,286,115,248,24,5,4,422,1439,2,412,537,9,219,1422,1313,119,5,3,6,9,95,3,53,192,11,388,97
"ACOX2",130,63,8,34,147,32,21,28,11,8,10,210,61,0,62,386,25,31,385,215,6,1,2,2,3,68,9,11,7,4,240,0
"ACOX3",23,118,65,37,62,82,39,80,0,0,1,16,178,0,86,131,0,27,127,133,65,0,0,1,0,29,0,6,66,0,47,27
"ACP1",22,94,64,64,70,62,37,32,0,0,0,41,106,0,101,129,0,31,100,111,50,0,0,0,0,29,0,15,16,0,44,29
"ACP2",31,54,25,32,24,65,18,26,4,0,2,28,58,0,73,32,5,6,72,54,60,3,4,3,3,7,2,6,12,0,17,46
"ACP5",27,53,185,174,8,23,2,7,0,0,1,32,67,0,492,6,2,16,16,35,163,0,0,0,0,1,0,0,9,1,14,52
"ACP6",14,45,25,22,81,72,19,11,0,0,0,16,56,0,62,93,1,25,56,35,22,0,0,0,0,26,0,4,12,0,30,18
"ACPT",2,27,9,4,7,29,5,9,2,5,8,1,40,0,12,14,15,3,7,16,9,0,0,1,3,2,4,5,5,4,5,9
"ACRBP",2,9,12,5,3,9,3,2,0,0,0,1,22,0,10,7,0,2,7,6,12,0,0,0,0,1,0,0,3,0,7,5
"ACSBG1",0,1,1,2,7,0,0,0,43,21,17,0,1,28,4,9,32,11,0,8,3,1,6,26,30,0,7,0,2,15,0,1
"ACSF2",13,195,170,205,284,179,31,144,2,2,0,17,326,0,434,642,2,68,234,289,154,1,0,0,0,92,1,6,42,0,182,92
"ACSF3",13,40,71,43,76,44,22,30,1,0,0,22,43,0,70,165,1,21,107,65,39,0,0,0,1,56,0,7,21,0,28,28
"ACSL1",528,847,77,100,929,196,295,190,4,0,1,1054,638,0,204,1608,1,124,2244,872,74,0,0,0,0,262,0,145,84,0,400,107
"ACSL3",57,54,48,23,99,33,50,13,0,0,0,91,41,0,91,128,0,15,269,199,13,0,0,0,0,23,0,7,7,0,213,13
"ACSL4",74,318,147,100,194,264,58,45,0,0,1,184,206,0,263,222,3,52,112,253,184,0,0,0,1,47,0,13,29,0,112,147
"ACSL5",63,147,186,194,45,146,15,19,6,1,2,180,80,0,282,50,8,19,36,178,98,0,0,1,2,9,1,3,13,1,25,76
"ACSL6",0,2,1,0,5,5,0,2,0,0,0,0,3,0,2,11,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,5
"ACSM2B",167,3,3,0,3,2,1,0,2,0,0,410,1,0,16,26,0,5,5917,1139,3,0,0,0,0,0,0,0,9,0,1297,1
"ACSM3",23,1,4,2,2,2,1,0,7,2,4,47,0,0,11,2,6,1,54,4,0,1,2,2,3,0,3,0,1,1,3,0
"ACSM4",602,0,0,0,4,0,0,1,5,4,11,709,0,1,5,24,10,2,915,122,1,0,0,4,1,0,2,0,0,1,63,0
"ACSM5",80,1,40,11,64,2,37,29,0,0,0,57,4,0,2,13,0,6,11,6,2,0,0,0,0,0,0,39,6,0,1,1
"ACSS1",122,137,308,222,391,184,46,32,0,0,1,93,181,1,476,701,2,22,376,295,202,0,0,0,0,192,0,17,27,0,571,128
"ACSS2",29,165,56,263,458,89,142,151,6,5,0,49,252,0,629,673,6,25,41,155,37,0,0,3,3,168,2,48,53,1,27,24
"ACSS3",269,162,113,60,666,55,95,103,4,0,1,218,162,0,86,887,5,26,1192,442,83,1,0,1,1,264,0,19,65,1,201,74
"ACTA1",11,19,13,405,4114,25,21089,5849,0,0,0,10,35,0,187,7057,0,156,22,18,14,0,0,0,0,3809,0,14114,58,0,6,13
"ACTA2",38,224,55,73,73,133,68,40,1,0,0,22,172,0,164,85,2,56,195,517,355,0,1,1,0,8,1,14,25,0,79,282
"ACTB",732,3756,3251,3059,981,3202,795,850,0,0,0,1070,3735,0,4540,1213,0,870,4372,3012,2772,0,0,1,0,298,0,258,1188,0,1520,3777
"ACTC1",0,1,2,38,2614,3,10,4,0,0,0,0,3,0,32,2930,0,0,41,9,2,0,0,0,0,324,0,3,0,0,11,1
"ACTG1",539,2804,1321,1229,595,1887,423,654,0,1,0,1153,2722,0,1878,917,0,749,2527,2181,792,0,0,0,0,183,0,115,761,0,1066,915
"ACTG2",0,11,638,171,153,54,3,5,0,0,0,0,23,0,347,8,0,10,0,287,132,0,0,0,0,0,0,0,3,0,3,80
"ACTL6A",1,42,25,9,32,9,3,3,6,3,3,6,16,3,22,41,4,1,31,27,10,1,1,1,0,4,0,1,4,0,6,8
"ACTN1",71,603,288,187,202,457,68,141,0,0,1,121,566,0,393,327,0,97,290,655,926,0,0,1,0,75,0,15,99,0,129,657
"ACTN2",2,10,34,278,5794,11,3116,417,1,0,0,2,17,0,190,9821,0,16,12,12,2,0,0,0,0,2766,0,1072,10,0,6,3
"ACTN3",0,3,0,0,1,0,4954,2191,1,0,1,1,11,0,0,0,0,40,3,3,0,0,1,0,2,0,2,5346,12,0,2,3
"ACTN4",86,783,149,463,233,474,215,315,1,0,0,114,870,0,1228,607,0,377,1446,1215,250,0,0,0,0,114,0,120,284,0,517,206
"ACTR10",17,84,48,33,106,37,61,17,0,0,1,42,62,0,76,143,5,14,63,43,38,0,0,0,0,29,0,24,5,0,34,17
"ACTR1A",20,335,69,100,153,144,55,63,3,1,1,27,287,1,313,208,6,96,216,358,95,2,1,0,1,46,0,25,52,1,85,70
"ACTR1B",11,137,35,48,78,64,36,67,0,1,1,19,136,0,101,135,4,25,102,118,28,0,0,1,0,36,0,19,29,0,41,21
"ACTR2",36,346,372,236,174,214,42,76,0,0,0,111,233,0,465,259,0,74,235,288,293,0,0,0,0,56,0,15,42,0,66,230
"ACTR3",68,452,444,268,190,290,42,59,2,1,2,95,261,0,605,205,1,98,187,273,321,0,0,0,1,49,0,22,39,0,67,221
"ACTR3B",7,40,29,10,68,232,116,46,0,0,0,4,74,0,25,117,2,12,42,77,14,0,0,0,0,28,1,71,19,0,30,8
"ACTR5",1,30,38,10,26,19,6,5,0,0,0,2,39,0,32,37,0,7,25,38,15,0,0,0,0,3,0,2,6,0,12,7
"ACTR6",5,16,13,9,29,6,6,2,0,0,0,2,17,0,6,26,0,7,18,13,10,0,0,0,0,7,0,2,5,0,5,7
"ACTR8",6,102,76,48,183,61,49,38,44,5,3,16,89,1,100,239,5,40,73,99,57,2,0,2,1,55,1,21,23,23,52,25
"ACVR1",50,135,28,27,211,162,56,46,0,0,0,72,101,0,57,293,2,24,89,91,26,0,2,0,0,53,0,25,33,0,43,11
"ACVR1B",119,86,53,94,74,133,27,11,5,2,0,142,65,0,236,128,7,71,513,312,53,0,1,3,6,26,3,15,22,0,202,29
